City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Gurupa,BR,86.16,scattered clouds,-1.405,-51.64,Residencial DWD
497,Jawhar,SO,75.87,overcast clouds,2.7809,45.5005,cosoble spare parts
501,Urucuca,BR,83.53,overcast clouds,-14.5931,-39.2844,Pousada da Serra
504,Sao Jose Da Coroa Grande,BR,81.01,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
505,Tel Aviv-Yafo,IL,76.1,few clouds,32.0805,34.7805,Ben Yehuda Apartments
506,Ugoofaaru,MV,83.77,broken clouds,5.6667,73.0,Ungoofaaru Inn
508,Oyama,JP,71.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
509,Tarakan,ID,81.79,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
512,Angoram,PG,73.96,broken clouds,-4.0625,144.0661,
514,Kirakira,SB,76.57,light rain,-10.4544,161.9205,SanBiz Lodge
517,Iberia,US,82.47,broken clouds,29.9502,-91.7507,back to back rv park
519,Bubaque,GW,79.47,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
521,Guarapari,BR,87.69,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
523,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
526,Tiznit,MA,71.11,overcast clouds,29.5833,-9.5,
528,Amudat,UG,73.13,broken clouds,1.95,34.95,Silent Night Hotel
531,Kloulklubed,PW,81.1,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
532,Kerouane,GN,82.36,overcast clouds,9.2667,-9.0167,
533,Vaitape,PF,79.16,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
535,Marrakesh,MA,82.47,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
536,Kudat,MY,80.38,overcast clouds,6.8837,116.8477,Dream Garden Hotel
537,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
539,Madimba,TZ,73.08,few clouds,-10.4,40.3333,
541,San Jose,US,71.96,broken clouds,37.3394,-121.895,The Westin San Jose
543,Lucapa,AO,72.09,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
547,Mocajuba,BR,89.73,scattered clouds,-2.5842,-49.5072,Hotel Saylon
550,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
552,Alappuzha,IN,80.19,overcast clouds,9.49,76.3264,Panoramic Sea Resort
555,Tshikapa,CD,79.72,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
558,Russell,US,81.68,scattered clouds,32.3502,-85.1999,Macs
559,Viransehir,TR,75.83,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
560,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
565,Bontang,ID,78.3,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
569,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
570,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
575,San Ramon,US,70.59,few clouds,37.7799,-121.978,San Ramon Marriott
579,Amol,IR,78.26,clear sky,36.4696,52.3507,Shahr Hotel
582,Dillon,US,88.2,overcast clouds,34.4166,-79.3712,Dillon Express Inn
583,Isangel,VU,70.25,broken clouds,-19.55,169.2667,Tanna Lodge
586,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
588,Benguela,AO,76.68,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
589,Havelock,US,88.05,broken clouds,34.8791,-76.9013,Sherwood Motel
591,Alcantara,BR,88.0,broken clouds,-2.4089,-44.4147,Pousada da Josefa
593,Harper,LR,82.47,broken clouds,4.375,-7.7169,Screensaver
594,Gafargaon,BD,85.98,few clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
595,Monrovia,LR,83.97,light rain,6.3005,-10.7969,Sunset Inn
598,Hurricane,US,87.71,broken clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
601,Abu Samrah,SY,71.76,clear sky,35.3029,37.1841,
602,Tagab,AF,80.51,broken clouds,34.855,69.6492,
605,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
608,Kiunga,PG,71.56,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
609,Puerto Palomas,MX,88.93,clear sky,31.7667,-107.6167,Hotel San Carlos
616,Kavaratti,IN,83.39,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
617,Pueblo,US,81.45,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
618,Damara,CF,81.19,broken clouds,4.9608,18.7035,
620,Indramayu,ID,78.58,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
623,Gunjur,GM,80.67,clear sky,13.2019,-16.7339,Kuba Lodge
627,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
632,Kampot,KH,78.85,few clouds,10.6167,104.1833,Two Moons Hotel
635,Pio Xii,BR,87.42,scattered clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
640,Portland,US,71.1,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
645,Xuddur,SO,77.18,overcast clouds,4.1213,43.8894,Banjanay Hotel
647,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
656,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
657,Tallahassee,US,87.67,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
658,Aksu,CN,78.76,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
660,Samarskoye,RU,74.21,overcast clouds,46.9336,39.6814,Хостел ТЕСЛА
662,Adjumani,UG,73.6,overcast clouds,3.3779,31.7909,Hotel Zawadi
663,Kinkala,CG,78.96,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
665,Trogir,HR,71.65,clear sky,43.5125,16.2517,Hotel Medena
667,Bonthe,SL,84.27,broken clouds,7.5264,-12.505,Bonthe Holiday Village
669,San Vicente,AR,70.39,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
672,Barahona,DO,87.62,few clouds,18.2085,-71.1008,Hotel Caribe
675,Hvittingfoss,NO,75.45,clear sky,59.4833,10.0167,Reinemoen
680,Catuday,PH,83.25,broken clouds,16.2923,119.8062,GResort
682,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
683,Puerto Ayacucho,VE,83.55,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
684,Kharar,IN,84.56,few clouds,30.7444,76.6478,OYO 19817 Hotel Sartaj
