City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,San Cristobal,VE,7.7669,-72.225,71.78,78,63,4.72,broken clouds
167,Hithadhoo,MV,-0.6,73.0833,83.5,72,69,16.69,broken clouds
168,Sinnamary,GF,5.3833,-52.95,80.82,82,87,9.64,overcast clouds
169,Norman Wells,CA,65.282,-126.8329,33.84,93,90,5.75,light rain
170,Tuktoyaktuk,CA,69.4541,-133.0374,32.07,74,100,7.2,overcast clouds
171,Chuy,UY,-33.6971,-53.4616,54.81,62,54,17.45,broken clouds
172,Limulunga,ZM,-15.0969,23.1376,62.28,26,0,3.71,clear sky
173,Luderitz,NA,-26.6481,15.1594,62.37,66,54,17.87,broken clouds
174,Kiama,AU,-34.6833,150.8667,54.37,69,100,7.0,overcast clouds
175,Taitung,TW,22.7583,121.1444,80.6,83,93,6.58,overcast clouds
176,Xuanzhou,CN,30.9525,118.7553,71.02,89,100,4.68,overcast clouds
177,Acari,PE,-15.4311,-74.6158,76.33,55,73,9.37,broken clouds
178,Aklavik,CA,68.2191,-135.0107,33.84,64,97,8.95,overcast clouds
179,Anloga,GH,5.7947,0.8973,82.99,77,100,11.01,overcast clouds
180,Lebu,CL,-37.6167,-73.65,53.8,66,100,5.93,overcast clouds
181,Te Anau,NZ,-45.4167,167.7167,46.02,95,100,7.34,overcast clouds
182,Le Vauclin,MQ,14.5452,-60.8388,87.85,48,20,14.9,few clouds
183,Kovylkino,RU,54.0388,43.9139,65.25,73,42,2.62,scattered clouds
184,Siva,EG,29.2041,25.5195,91.67,18,1,2.86,clear sky
185,Alpena,US,45.0617,-83.4327,64.94,28,1,5.01,clear sky
186,Namie,JP,37.4833,141.0,65.97,73,60,4.63,broken clouds
187,Tanout,NE,14.9709,8.8879,93.11,14,96,3.27,overcast clouds
188,Yuma,US,32.7253,-114.6244,95.38,13,1,10.36,clear sky
189,Sitka,US,57.0531,-135.33,51.69,71,90,8.05,overcast clouds
190,Georgetown,MY,5.4112,100.3354,85.93,81,20,5.03,few clouds
191,Aquiraz,BR,-3.9014,-38.3911,86.09,68,66,10.85,broken clouds
192,Ajdabiya,LY,30.7554,20.2263,85.08,38,2,25.17,clear sky
193,Pangkalanbuun,ID,-2.6833,111.6167,73.29,98,95,2.08,light rain
194,Fortuna,US,40.5982,-124.1573,54.66,87,90,8.05,overcast clouds
195,Sambava,MG,-14.2667,50.1667,75.24,82,4,8.93,clear sky
196,Poya,NC,-21.35,165.15,66.27,71,91,8.34,overcast clouds
197,Fort Nelson,CA,58.8053,-122.7002,64.09,35,88,3.47,overcast clouds
198,Menongue,AO,-14.6585,17.691,60.17,31,0,4.16,clear sky
199,Kenora,CA,49.8167,-94.4337,59.77,41,95,20.0,overcast clouds
200,Hasaki,JP,35.7333,140.8333,66.6,81,51,4.47,broken clouds
201,Sahbuz,AZ,39.4072,45.5739,83.8,35,56,3.29,broken clouds
202,Leningradskiy,RU,69.3833,178.4167,32.29,78,82,7.61,broken clouds
203,Sechura,PE,-5.5569,-80.8222,76.32,66,94,7.92,overcast clouds
204,Korla,CN,41.7597,86.1469,78.69,26,84,21.23,broken clouds
205,Christchurch,NZ,-43.5333,172.6333,55.99,91,75,4.0,light rain
206,Sao Filipe,CV,14.8961,-24.4956,74.46,76,4,12.28,clear sky
207,Zhaotong,CN,27.3167,103.7167,56.41,89,100,1.3,overcast clouds
208,Lagoa,PT,39.05,-27.9833,63.59,71,60,6.67,broken clouds
209,Jilin,CN,43.0,126.0,47.37,85,26,3.94,scattered clouds
210,Poum,NC,-20.2333,164.0167,70.74,63,86,19.24,overcast clouds
211,Filadelfia,US,39.9523,-75.1638,51.66,92,90,7.0,overcast clouds
212,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,8.05,broken clouds
213,Salinopolis,BR,-0.6136,-47.3561,83.05,78,63,10.65,broken clouds
214,Esil,KZ,51.9556,66.4042,66.56,30,18,10.16,few clouds
215,North Myrtle Beach,US,33.816,-78.68,88.34,77,1,1.99,clear sky
216,Ancud,CL,-41.8697,-73.8203,50.43,72,100,8.14,light rain
217,Miles City,US,46.4083,-105.8406,66.51,29,20,16.11,few clouds
218,Athabasca,CA,54.7169,-113.2854,61.72,50,40,11.77,scattered clouds
219,Goderich,CA,43.7501,-81.7165,62.04,53,36,13.42,scattered clouds
